time,IPLA,IPref,ECEcore,SSXcore,LI,Q95,ZMAG,Vloop,IPE,Instability,Window
0.139,-308966.4,0.022460938,1141.5006,0.0027466565,0.6617519,10.408838,0.020125447,-8.519881,-308966.44,0,6
0.14,-307876.2,0.022460938,1141.5006,0.0025940686,0.8691777,8.330409,0.013069041,-8.480227,-307876.22,0,6
0.141,-308218.4,0.022460938,1141.5006,0.0024414808,0.8691777,8.330409,0.013069041,-8.280293,-308218.44,0,6
0.142,-307859.03,0.022460938,1141.5006,0.0018310994,0.8691777,8.330409,0.013069041,-8.798457,-307859.06,0,7
0.143,-306088.78,0.022460938,1141.5006,0.00213629,0.8691777,8.330409,0.013069041,-9.196993,-306088.8,0,7
0.144,-305559.6,0.022460938,1141.5006,0.0018311143,0.8691777,8.330409,0.013069041,-8.480227,-305559.62,0,7
0.145,-306025.4,0.022460938,1141.5006,0.0013733357,0.8691777,8.330409,0.013069041,-8.04337,-306025.44,0,7
0.146,-305573.56,0.022460938,1141.5006,0.0013733357,0.8691777,8.330409,0.013069041,-7.8834224,-305573.6,0,7
0.147,-304375.97,0.022460938,1141.5006,0.002288878,0.8691777,8.330409,0.013069041,-8.600521,-304376.0,0,7
0.148,-302110.47,0.022460938,1141.5006,0.0013733357,0.8691777,8.330409,0.013069041,-8.639842,-302110.5,0,7
0.149,-303151.25,0.022460938,1141.5006,0.0013733357,0.8691777,8.330409,0.013069041,-8.3606,-303151.28,0,7
0.15,-301958.8,0.022460938,1141.5006,0.0027466565,0.8691777,8.330409,0.013069041,-8.520881,-301958.84,0,7
0.151,-301082.5,0.022460938,1141.5006,0.0013733208,0.8691777,8.330409,0.013069041,-7.7241416,-301082.53,0,7
0.152,-300123.4,0.022460938,1141.5006,0.0013733357,0.8691777,8.330409,0.013069041,-8.679163,-300123.44,0,7
0.153,-299525.53,0.022460938,1141.5006,0.0025940686,0.8691777,8.330409,0.013069041,-8.44124,-299525.56,0,7
0.154,-299598.75,0.022460938,1141.5006,0.0013733357,0.8691777,8.330409,0.013069041,-8.08269,-299598.78,0,7
0.155,-297214.38,0.022460938,1141.5006,0.001068145,0.8691777,8.330409,0.013069041,-8.679496,-297214.4,0,7
0.156,-298715.2,0.022460938,1141.5006,0.0027466714,0.8691777,8.330409,0.013069041,-7.7637954,-298715.22,0,7
0.157,-298055.47,0.022460938,1141.5006,0.0025940686,0.8691777,8.330409,0.013069041,-7.4855523,-298055.5,0,7
0.158,-297005.25,0.022460938,1141.5006,0.0015259236,0.8691777,8.330409,0.013069041,-8.122011,-297005.28,0,7
0.159,-298301.16,0.022460938,1141.5006,0.0024414808,0.8691777,8.330409,0.013069041,-8.001718,-298301.2,0,7
0.16,-295793.0,0.022460938,1141.5006,0.002288878,0.8691777,8.330409,0.013069041,-7.683821,-295793.03,0,7
0.161,-294908.53,0.022460938,1141.5006,0.001068145,0.8691777,8.330409,0.013069041,-7.8834224,-294908.56,0,7
0.162,-294873.56,0.022460938,1141.5006,0.0018311143,0.8691777,8.330409,0.013069041,-7.8034487,-294873.6,0,8
0.163,-292989.7,0.022460938,1141.5006,0.0025940686,0.8691777,8.330409,0.013069041,-8.32128,-292989.72,0,8
0.164,-293054.5,0.022460938,1141.5006,0.00076295435,0.8691777,8.330409,0.013069041,-8.202318,-293054.53,0,8
0.165,-293692.88,0.022460938,1141.5006,0.0018311143,0.8691777,8.330409,0.013069041,-7.883089,-293692.9,0,8
0.166,-292623.97,0.022460938,1141.5006,0.0018310994,0.8691777,8.330409,0.013069041,-8.320947,-292624.0,0,8
0.167,-291136.3,0.022460938,1141.5006,0.001068145,0.8691777,8.330409,0.013069041,-8.282291,-291136.34,0,8
0.168,-292191.75,0.022460938,1141.5006,0.0013733357,0.97717774,6.7347794,0.024632052,-8.042038,-292191.78,0,8
0.169,-291473.2,0.022460938,1141.5006,0.0025940686,0.97717774,6.7347794,0.024632052,-7.923076,-291473.22,0,8
0.17,-291559.75,0.022460938,1141.5006,0.0013733208,0.97717774,6.7347794,0.024632052,-7.883089,-291559.78,0,8
0.171,-290580.47,0.022460938,1141.5006,0.00091555715,0.97717774,6.7347794,0.024632052,-7.6051803,-290580.5,0,8
0.172,-291028.8,0.022460938,1141.5006,0.0024414659,0.97717774,6.7347794,0.024632052,-7.2059774,-291028.84,0,8
0.173,-291795.66,0.022460938,1141.5006,0.0016785115,0.97717774,6.7347794,0.024632052,-7.5255394,-291795.7,0,8
0.174,-289675.44,0.022460938,1141.5006,0.00091555715,0.97717774,6.7347794,0.024632052,-8.04337,-289675.47,0,8
0.175,-289231.9,0.022460938,1141.5006,0.0024414808,0.97717774,6.7347794,0.024632052,-7.7254734,-289231.94,0,8
0.176,-289527.9,0.022460938,1141.5006,0.0019837022,0.97717774,6.7347794,0.024632052,-8.5605345,-289527.94,0,8
0.177,-289919.3,0.022460938,1141.5006,0.0019837022,0.97717774,6.7347794,0.024632052,-7.327604,-289919.34,0,8
0.178,-290839.7,0.022460938,1141.5006,0.00320445,0.97717774,6.7347794,0.024632052,-7.326937,-290839.72,0,8
0.179,-288895.66,0.022460938,1141.5006,0.0024414808,0.97717774,6.7347794,0.024632052,-8.122344,-288895.7,0,8
0.18,-290378.62,0.022460938,1141.5006,0.00213629,0.97717774,6.7347794,0.024632052,-7.4062448,-290378.66,0,8
0.181,-289643.4,0.022460938,1141.5006,0.0022888929,0.97717774,6.7347794,0.024632052,-7.326271,-289643.44,0,8
0.182,-291938.9,0.022460938,1141.5006,0.00213629,0.97717774,6.7347794,0.024632052,-7.405912,-291938.94,0,9
0.183,-291557.06,0.022460938,1141.5006,0.0013733208,0.97717774,6.7347794,0.024632052,-7.2459645,-291557.1,0,9
0.184,-290724.8,0.022460938,1141.5006,0.0019837022,0.97717774,6.7347794,0.024632052,-7.0860167,-290724.84,0,9
0.185,-292383.62,0.022460938,1141.5006,0.001068145,0.97717774,6.7347794,0.024632052,-6.8084407,-292383.66,0,9
0.186,-292703.7,0.022460938,1141.5006,0.0016785264,0.97717774,6.7347794,0.024632052,-6.4905443,-292703.72,0,9
0.187,-293972.34,0.022460938,1141.5006,0.0012207329,0.97717774,6.7347794,0.024632052,-7.0070424,-293972.38,0,9
0.188,-294531.25,0.022460938,1141.5006,0.0016785264,0.97717774,6.7347794,0.024632052,-6.7281337,-294531.28,0,9
0.189,-296349.8,0.022460938,1141.5006,0.0015259236,0.97717774,6.7347794,0.024632052,-6.1309953,-296349.84,0,9
0.19,-295836.12,0.022460938,1141.5006,0.0016785115,0.97717774,6.7347794,0.024632052,-6.688813,-295836.16,0,9
0.191,-295432.8,0.022460938,1141.5006,0.00213629,0.97717774,6.7347794,0.024632052,-6.7684536,-295432.84,0,9
0.192,-297725.12,0.022460938,1141.5006,0.00213629,0.97717774,6.7347794,0.024632052,-6.5685196,-297725.16,0,9
0.193,-297798.16,0.022460938,1141.5006,0.0016785115,0.97717774,6.7347794,0.024632052,-6.728467,-297798.2,0,9
0.194,-297782.94,0.022460938,1141.5006,0.0019836873,0.97717774,6.7347794,0.024632052,-6.967722,-297782.97,0,9
0.195,-300204.16,0.022460938,1141.5006,0.0019837022,0.99684906,6.177755,0.047223717,-6.0910087,-300204.2,0,9
0.196,-300693.7,0.022460938,1141.5006,0.00045777857,0.99684906,6.177755,0.047223717,-6.011035,-300693.72,0,9
0.197,-301094.9,0.022460938,1141.5006,0.0019837022,0.99684906,6.177755,0.047223717,-5.8134327,-301094.94,0,9
0.198,-301349.4,0.022460938,1141.5006,0.00213629,0.99684906,6.177755,0.047223717,-5.9317274,-301349.44,0,9
0.199,-302084.97,0.022460938,1141.5006,0.001068145,0.99684906,6.177755,0.047223717,-6.0117016,-302085.0,0,9
0.2,-301930.53,0.022460938,1141.5006,0.0024414808,0.99684906,6.177755,0.047223717,-6.0910087,-301930.56,0,9
0.201,-303263.53,0.022460938,1141.5006,0.0024414808,0.99684906,6.177755,0.047223717,-5.851754,-303263.56,0,9
0.202,-304661.16,0.022460938,1141.5006,0.001068145,0.99684906,6.177755,0.047223717,-6.011368,-304661.2,0,10
0.203,-305605.6,0.022460938,1141.5006,0.0025940686,0.99684906,6.177755,0.047223717,-5.5335245,-305605.62,0,10
0.204,-306623.62,0.022460938,1141.5006,0.0027466565,0.99684906,6.177755,0.047223717,-5.573511,-306623.66,0,10
0.205,-307870.53,0.022460938,1141.5006,0.00091555715,0.99684906,6.177755,0.047223717,-5.5731783,-307870.56,0,10
0.206,-308956.56,0.022460938,1141.5006,0.0024414808,0.99684906,6.177755,0.047223717,-5.931394,-308956.6,0,10
0.207,-307892.97,0.022460938,1141.5006,0.0027466714,0.99684906,6.177755,0.047223717,-5.8124332,-307893.0,0,10
0.208,-308420.72,0.022460938,1141.5006,0.0013733357,0.99684906,6.177755,0.047223717,-6.0916753,-308420.75,0,10
0.209,-308630.06,0.022460938,1141.5006,0.00320445,0.99684906,6.177755,0.047223717,-6.0506887,-308630.1,0,10
0.21,-310559.0,0.022460938,1141.5006,0.0028992593,0.99684906,6.177755,0.047223717,-6.090009,-310559.03,0,10
0.211,-311431.12,0.022460938,1141.5006,0.0015259236,0.99684906,6.177755,0.047223717,-5.612832,-311431.16,0,10
0.212,-310020.78,0.022460938,1141.5006,0.0022888929,0.99684906,6.177755,0.047223717,-6.3695846,-310020.8,0,10
0.213,-316406.44,0.022460938,1141.5006,0.0025940686,0.99684906,6.177755,0.047223717,-3.024678,-316406.47,0,10
0.214,-314481.72,0.022460938,1141.5006,0.0019836873,0.99684906,6.177755,0.047223717,-5.851754,-314481.75,0,10
0.215,-314218.62,0.022460938,1141.5006,0.00213629,0.99684906,6.177755,0.047223717,-5.77178,-314218.66,0,10
0.216,-316061.97,0.022460938,1141.5006,0.0025940686,0.99684906,6.177755,0.047223717,-5.5731783,-316062.0,0,10
0.217,-318030.38,0.022460938,1141.5006,0.0027466714,0.99684906,6.177755,0.047223717,-4.697131,-318030.4,0,10
0.218,-317662.6,0.022460938,1141.5006,0.0022888929,0.99684906,6.177755,0.047223717,-5.572845,-317662.62,0,10
0.219,-316694.06,0.022460938,1141.5006,0.0028992593,0.99684906,6.177755,0.047223717,-5.612832,-316694.1,0,10
0.22,-316128.72,0.022460938,1141.5006,0.0024414808,0.99684906,6.177755,0.047223717,-5.973713,-316128.75,0,10
0.221,-316732.06,0.022460938,1141.5006,0.001068145,0.99684906,6.177755,0.047223717,-6.0536866,-316732.1,0,10
0.222,-318521.78,0.022460938,1141.5006,0.0019837022,0.99684906,6.177755,0.047223717,-6.0936737,-318521.8,0,11
0.223,-318072.53,0.022460938,1141.5006,0.00213629,1.0098432,6.0256877,0.08230161,-6.014033,-318072.56,0,11
0.224,-317505.12,0.022460938,1141.5006,0.0013733208,1.0098432,6.0256877,0.08230161,-5.9747124,-317505.16,0,11
0.225,-320471.28,0.022460938,1141.5006,0.0013733208,1.0098432,6.0256877,0.08230161,-5.417561,-320471.3,0,11
0.226,-320197.12,0.022460938,1141.5006,0.0028992444,1.0098432,6.0256877,0.08230161,-6.014033,-320197.16,0,11
0.227,-321354.5,0.022460938,1141.5006,0.0012207478,1.0098432,6.0256877,0.08230161,-6.2143,-321354.53,0,11
0.228,-321182.56,0.022460938,1141.5006,0.0016785115,1.0098432,6.0256877,0.08230161,-6.0553527,-321182.6,0,11
0.229,-321700.12,0.022460938,1141.5006,0.0025940686,1.0098432,6.0256877,0.08230161,-5.935392,-321700.16,0,11
0.23,-322000.72,0.022460938,1141.5006,0.00213629,1.0098432,6.0256877,0.08230161,-5.8557515,-322000.75,0,11
0.231,-322965.44,0.022460938,1141.5006,0.0016785115,1.0098432,6.0256877,0.08230161,-6.015699,-322965.47,0,11
0.232,-324773.34,0.022460938,1141.5006,0.00213629,1.0098432,6.0256877,0.08230161,-5.734125,-324773.38,0,11
